,12-Apr,12-Apr,12-Apr,12-Apr,13-Apr,13-Apr,13-Apr,13-Apr,14-Apr,14-Apr,14-Apr,14-Apr,15-Apr,15-Apr,15-Apr,15-Apr,16-Apr,16-Apr,16-Apr,16-Apr,17-Apr,17-Apr,17-Apr,17-Apr,18-Apr,18-Apr,18-Apr,18-Apr,19-Apr,19-Apr,19-Apr,19-Apr,20-Apr,20-Apr,20-Apr,20-Apr,24-Apr,24-Apr,24-Apr,24-Apr,26-Apr,26-Apr,26-Apr,26-Apr,05-May,05-May,05-May,05-May,07-May,07-May,07-May,07-May,10-May,10-May,10-May,10-May,11-May,11-May,11-May,11-May,12-May,12-May,12-May,12-May,17-May,17-May,17-May,17-May,19-May,19-May,19-May,19-May,20-May,20-May,20-May,20-May,22-May,22-May,22-May,22-May,23-May,23-May,23-May,23-May,24-May,24-May,24-May,24-May,25-May,25-May,25-May,25-May,26-May,26-May,26-May,26-May,27-May,27-May,27-May,27-May,29-May,29-May,29-May,29-May,30-May,30-May,30-May,30-May,31-May,31-May,31-May,31-May,01-Jun,01-Jun,01-Jun,01-Jun,02-Jun,02-Jun,02-Jun,02-Jun,05-Jun,05-Jun,05-Jun,05-Jun,06-Jun,06-Jun,06-Jun,06-Jun,07-Jun,07-Jun,07-Jun,07-Jun,08-Jun,08-Jun,08-Jun,08-Jun,09-Jun,09-Jun,09-Jun,09-Jun,13-Jun,13-Jun,13-Jun,13-Jun
District/Municipal Corporation,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death
Vasai-Virar Municipal Corporation,21,0,0,3,26,0,0,3,29,0,0,3,32,0,0,3,34,0,0,3,61,0,0,3,62,0,0,3,85,0,0,3,107,0,0,3,114,0,0,3,0,0,0,0,161,0,0,4,187,0,0,9,229,0,0,10,249,0,0,10,263,0,0,10,359,0,0,11,396,0,0,11,407,0,0,11,451,0,0,14,499,0,0,15,562,0,0,15,597,0,0,15,630,0,0,15,645,0,0,16,776,0,0,20,827,0,0,27,874,0,0,27,919,0,0,30,966,0,0,30,1107,0,0,33,1194,0,0,34,1275,0,0,34,1353,0,0,35,1415,0,0,37,1814,0,0,42
Raigad,4,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,6,0,0,0,8,0,0,0,13,0,0,0,13,0,0,0,15,0,0,0,14,0,0,0,57,0,0,1,56,0,0,1,76,0,0,1,92,0,0,1,123,0,0,1,129,0,0,2,239,0,0,5,264,0,0,5,279,0,0,5,299,0,0,5,321,0,0,5,412,0,0,5,431,0,0,5,471,0,0,5,502,0,0,12,553,0,0,15,574,0,0,18,609,0,0,18,632,0,0,20,648,0,0,26,709,0,0,29,722,0,0,29,740,0,0,29,754,0,0,29,764,0,0,29,841,0,0,29
Panvel Municipal Corporation,8,0,0,1,9,0,0,1,10,0,0,1,10,0,0,1,12,0,0,1,28,0,0,1,29,0,0,1,27,0,0,1,33,0,0,1,40,0,0,1,0,0,0,0,107,0,0,2,125,0,0,2,138,0,0,2,139,0,0,2,146,0,0,8,206,0,0,11,244,0,0,11,253,0,0,11,282,0,0,12,295,0,0,12,330,0,0,12,360,0,0,12,374,0,0,12,394,0,0,13,446,0,0,14,468,0,0,21,499,0,0,21,516,0,0,21,561,0,0,25,653,0,0,26,689,0,0,26,701,0,0,26,707,0,0,26,736,0,0,29,940,0,0,35
Thane Division total,1520,0,0,106,1790,0,0,116,2075,0,0,127,2228,0,0,129,2423,0,0,132,2507,0,0,137,2734,0,0,142,3214,0,0,148,3607,0,0,155,5279,0,0,198,0,0,0,0,11704,0,0,416,13717,0,0,472,16680,0,0,544,17661,0,0,566,18337,0,0,603,25130,0,0,811,28431,0,0,904,30025,0,0,950,34107,0,0,1027,36173,0,0,1069,38585,0,0,1110,40438,0,0,1154,41886,0,0,1226,43466,0,0,1290,47482,0,0,1397,49575,0,0,1478,51397,0,0,1548,53259,0,0,1609,54951,0,0,1682,60604,0,0,1903,62615,0,0,1993,64714,0,0,2064,66640,0,0,2134,68299,0,0,2216,78134,0,0,2650
Nashik,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,131,0,0,12,21,0,0,0,47,0,0,0,59,0,0,0,60,0,0,0,82,0,0,0,105,0,0,0,104,0,0,0,105,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,123,0,0,0,123,0,0,0,128,0,0,0,148,0,0,0,150,0,0,0,162,0,0,0,165,0,0,0,169,0,0,0,207,0,0,3,217,0,0,2,248,0,0,2,250,0,0,4,269,0,0,8,289,0,0,12
Nashik Municipal Corporation,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,27,0,0,0,54,0,0,0,38,0,0,0,40,0,0,0,43,0,0,0,71,0,0,1,82,0,0,2,82,0,0,2,93,0,0,2,105,0,0,2,110,0,0,2,129,0,0,2,147,0,0,2,162,0,0,5,190,0,0,8,214,0,0,8,225,0,0,8,256,0,0,9,281,0,0,10,383,0,0,12,413,0,0,18,439,0,0,19,504,0,0,19,535,0,0,22,698,0,0,25
Malegaon Municipal Corporation,15,0,0,2,29,0,0,2,42,0,0,2,48,0,0,2,40,0,0,2,45,0,0,2,45,0,0,2,78,0,0,6,85,0,0,8,116,0,0,11,0,0,0,0,361,0,0,12,432,0,0,12,562,0,0,34,596,0,0,34,616,0,0,34,675,0,0,34,654,0,0,34,681,0,0,34,710,0,0,44,711,0,0,44,711,0,0,44,721,0,0,44,722,0,0,47,722,0,0,47,732,0,0,52,747,0,0,52,748,0,0,58,761,0,0,58,762,0,0,58,777,0,0,66,782,0,0,68,834,0,0,68,838,0,0,68,856,0,0,65,865,0,0,65
Ahmednagar,10,0,0,0,10,0,0,0,10,0,0,1,10,0,0,1,19,0,0,1,19,0,0,1,19,0,0,1,21,0,0,2,21,0,0,2,25,0,0,2,36,0,0,2,44,0,0,2,44,0,0,2,54,0,0,3,54,0,0,3,54,0,0,3,56,0,0,3,42,0,0,5,46,0,0,5,49,0,0,5,53,0,0,5,53,0,0,5,57,0,0,5,64,0,0,5,67,0,0,6,75,0,0,6,87,0,0,6,94,0,0,6,94,0,0,6,111,0,0,7,139,0,0,7,141,0,0,7,151,0,0,7,156,0,0,8,158,0,0,8,179,0,0,8
Ahmednagar Municipal Corporation,16,0,0,0,17,0,0,0,17,0,0,0,17,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,10,0,0,0,19,0,0,0,18,0,0,0,18,0,0,0,22,0,0,0,19,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,21,0,0,0,21,0,0,0,26,0,0,0,26,0,0,0,30,0,0,0,49,0,0,1,49,0,0,1,52,0,0,1,52,0,0,1,52,0,0,1,56,0,0,1
Dhule,1,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,6,0,0,1,25,0,0,3,8,0,0,2,8,0,0,2,9,0,0,3,9,0,0,3,9,0,0,3,10,0,0,3,13,0,0,3,13,0,0,3,17,0,0,3,17,0,0,3,23,0,0,3,23,0,0,3,29,0,0,3,29,0,0,3,34,0,0,8,36,0,0,8,36,0,0,8,36,0,0,8,51,0,0,8,63,0,0,11,79,0,0,11,82,0,0,11,91,0,0,13,113,0,0,13,142,0,0,13
Dhule Municipal Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,24,0,0,1,24,0,0,1,45,0,0,3,45,0,0,3,54,0,0,3,70,0,0,5,71,0,0,6,71,0,0,6,80,0,0,6,80,0,0,6,95,0,0,6,95,0,0,6,100,0,0,6,100,0,0,6,101,0,0,8,104,0,0,8,104,0,0,8,109,0,0,8,122,0,0,8,132,0,0,10,152,0,0,10,156,0,0,10,170,0,0,12,177,0,0,12,211,0,0,13
Jalgaon,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,1,19,0,0,4,47,0,0,11,64,0,0,11,144,0,0,12,145,0,0,12,152,0,0,15,205,0,0,26,233,0,0,29,233,0,0,29,286,0,0,36,290,0,0,36,294,0,0,36,301,0,0,36,324,0,0,36,365,0,0,46,399,0,0,60,443,0,0,63,449,0,0,63,504,0,0,63,561,0,0,63,662,0,0,95,723,0,0,96,787,0,0,96,818,0,0,100,868,0,0,100,1283,0,0,105
Jalgaon Municipal Corporation,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,0,0,0,0,11,0,0,1,14,0,0,2,34,0,0,7,35,0,0,7,40,0,0,9,61,0,0,4,70,0,0,4,70,0,0,4,109,0,0,5,113,0,0,5,117,0,0,5,117,0,0,5,123,0,0,5,140,0,0,5,156,0,0,9,164,0,0,9,167,0,0,9,192,0,0,9,199,0,0,9,234,0,0,14,240,0,0,13,262,0,0,13,263,0,0,15,281,0,0,15,350,0,0,15
Nandurbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,7,0,0,1,11,0,0,1,19,0,0,1,19,0,0,1,22,0,0,2,22,0,0,2,22,0,0,2,23,0,0,2,25,0,0,2,25,0,0,2,32,0,0,2,32,0,0,2,32,0,0,2,32,0,0,2,32,0,0,2,32,0,0,3,33,0,0,3,34,0,0,3,35,0,0,3,35,0,0,3,37,0,0,3,40,0,0,4,40,0,0,4,40,0,0,4,40,0,0,4,40,0,0,4,48,0,0,4
