,12-Apr,12-Apr,12-Apr,12-Apr,13-Apr,13-Apr,13-Apr,13-Apr,14-Apr,14-Apr,14-Apr,14-Apr,15-Apr,15-Apr,15-Apr,15-Apr,16-Apr,16-Apr,16-Apr,16-Apr,17-Apr,17-Apr,17-Apr,17-Apr,18-Apr,18-Apr,18-Apr,18-Apr,19-Apr,19-Apr,19-Apr,19-Apr,20-Apr,20-Apr,20-Apr,20-Apr,24-Apr,24-Apr,24-Apr,24-Apr,26-Apr,26-Apr,26-Apr,26-Apr,05-May,05-May,05-May,05-May,07-May,07-May,07-May,07-May,10-May,10-May,10-May,10-May,11-May,11-May,11-May,11-May,12-May,12-May,12-May,12-May,17-May,17-May,17-May,17-May,19-May,19-May,19-May,19-May,20-May,20-May,20-May,20-May,22-May,22-May,22-May,22-May,23-May,23-May,23-May,23-May,24-May,24-May,24-May,24-May,25-May,25-May,25-May,25-May,26-May,26-May,26-May,26-May,27-May,27-May,27-May,27-May,29-May,29-May,29-May,29-May,30-May,30-May,30-May,30-May,31-May,31-May,31-May,31-May,01-Jun,01-Jun,01-Jun,01-Jun,02-Jun,02-Jun,02-Jun,02-Jun,05-Jun,05-Jun,05-Jun,05-Jun,06-Jun,06-Jun,06-Jun,06-Jun,07-Jun,07-Jun,07-Jun,07-Jun,08-Jun,08-Jun,08-Jun,08-Jun,09-Jun,09-Jun,09-Jun,09-Jun,13-Jun,13-Jun,13-Jun,13-Jun
District/Municipal Corporation,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death
Nashik Division Total,47,0,0,4,64,0,0,4,77,0,0,5,83,0,0,5,79,0,0,5,84,0,0,5,85,0,0,5,121,0,0,10,129,0,0,12,197,0,0,18,222,0,0,22,571,0,0,30,715,0,0,31,976,0,0,64,1015,0,0,64,1082,0,0,69,1295,0,0,78,1312,0,0,85,1344,0,0,85,1513,0,0,103,1535,0,0,103,1570,0,0,103,1618,0,0,103,1684,0,0,106,1765,0,0,121,1889,0,0,154,2000,0,0,157,2046,0,0,163,2178,0,0,164,2323,0,0,166,2686,0,0,223,2836,0,0,230,3051,0,0,231,3182,0,0,244,3349,0,0,248,4121,0,0,261
Pune,7,0,0,0,7,0,0,0,10,0,0,0,10,0,0,0,16,0,0,0,17,0,0,0,18,0,0,1,17,0,0,1,18,0,0,1,43,0,0,2,1052,0,0,76,103,0,0,4,105,0,0,4,162,0,0,5,166,0,0,5,167,0,0,5,199,0,0,5,212,0,0,5,235,0,0,5,283,0,0,5,312,0,0,5,340,0,0,5,360,0,0,7,383,0,0,7,410,0,0,8,471,0,0,9,504,0,0,11,547,0,0,12,553,0,0,12,562,0,0,12,613,0,0,13,623,0,0,15,655,0,0,15,664,0,0,16,675,0,0,17,812,0,0,19
Pune Municipal Corporation,233,0,0,30,272,0,0,30,310,0,0,34,362,0,0,40,419,0,0,44,450,0,0,46,528,0,0,49,546,0,0,49,594,0,0,49,848,0,0,63,0,0,0,0,1836,0,0,112,1899,0,0,122,2377,0,0,146,2476,0,0,149,2621,0,0,155,3464,0,0,188,3846,0,0,202,4049,0,0,215,4499,0,0,231,4805,0,0,245,5075,0,0,251,5319,0,0,260,5602,0,0,268,5830,0,0,276,6321,0,0,296,6583,0,0,300,6904,0,0,308,7020,0,0,316,7144,0,0,326,7877,0,0,364,8049,0,0,372,8388,0,0,377,8537,0,0,381,8708,0,0,395,9945,0,0,428
Pimpri Chinchwad Municipal Corporation,23,0,0,0,29,0,0,1,31,0,0,1,35,0,0,1,38,0,0,1,37,0,0,1,45,0,0,1,48,0,0,1,51,0,0,1,70,0,0,2,0,0,0,0,123,0,0,3,125,0,0,3,140,0,0,4,147,0,0,4,149,0,0,4,158,0,0,4,182,0,0,4,193,0,0,6,211,0,0,7,230,0,0,7,267,0,0,7,317,0,0,7,350,0,0,7,374,0,0,7,431,0,0,9,450,0,0,9,468,0,0,9,472,0,0,10,490,0,0,10,561,0,0,13,617,0,0,13,662,0,0,14,676,0,0,16,690,0,0,17,965,0,0,22
Solapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47,0,0,5,3,0,0,1,6,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,1,9,0,0,1,10,0,0,1,10,0,0,1,22,0,0,1,24,0,0,2,24,0,0,2,25,0,0,2,27,0,0,2,42,0,0,2,46,0,0,2,46,0,0,3,53,0,0,3,54,0,0,3,85,0,0,6,85,0,0,6,88,0,0,6,98,0,0,6,99,0,0,7,128,0,0,8
Solapur Municipal Corporation,1,0,0,1,1,0,0,1,1,0,0,1,2,0,0,1,12,0,0,1,12,0,0,1,14,0,0,1,15,0,0,2,21,0,0,2,38,0,0,3,0,0,0,0,127,0,0,6,177,0,0,10,241,0,0,11,287,0,0,16,308,0,0,19,364,0,0,24,430,0,0,24,495,0,0,26,522,0,0,32,545,0,0,34,577,0,0,39,599,0,0,40,621,0,0,47,652,0,0,50,727,0,0,60,826,0,0,66,851,0,0,67,880,0,0,67,880,0,0,72,1132,0,0,88,1176,0,0,90,1255,0,0,98,1321,0,0,104,1369,0,0,105,1610,0,0,120
Satara,6,0,0,2,6,0,0,2,6,0,0,2,6,0,0,2,7,0,0,2,7,0,0,2,11,0,0,2,11,0,0,2,13,0,0,2,20,0,0,2,29,0,0,2,79,0,0,2,94,0,0,2,119,0,0,2,121,0,0,2,123,0,0,2,131,0,0,2,142,0,0,2,170,0,0,2,204,0,0,4,204,0,0,5,279,0,0,5,314,0,0,5,339,0,0,5,395,0,0,7,459,0,0,16,490,0,0,16,523,0,0,16,527,0,0,16,562,0,0,22,587,0,0,22,626,0,0,27,630,0,0,27,640,0,0,27,658,0,0,27,731,0,0,28
Pune Division Total,270,0,0,33,315,0,0,34,358,0,0,38,415,0,0,44,492,0,0,48,523,0,0,50,616,0,0,54,637,0,0,55,697,0,0,55,1020,0,0,72,1128,0,0,83,2271,0,0,128,2406,0,0,141,3048,0,0,168,3206,0,0,176,3377,0,0,185,4325,0,0,224,4821,0,0,238,5152,0,0,255,5729,0,0,280,6118,0,0,297,6562,0,0,309,6933,0,0,321,7320,0,0,336,7688,0,0,350,8451,0,0,392,8899,0,0,404,9339,0,0,415,9505,0,0,424,9692,0,0,445,10855,0,0,506,11176,0,0,523,11678,0,0,537,11936,0,0,550,12199,0,0,568,14191,0,0,625
Kolhapur,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,5,0,0,0,7,0,0,0,10,0,0,0,9,0,0,1,10,0,0,1,13,0,0,1,13,0,0,1,13,0,0,1,30,0,0,1,62,0,0,1,120,0,0,1,175,0,0,1,206,0,0,1,236,0,0,1,244,0,0,1,312,0,0,1,318,0,0,1,350,0,0,4,400,0,0,4,428,0,0,4,480,0,0,4,513,0,0,4,605,0,0,6,613,0,0,6,622,0,0,8,623,0,0,8,643,0,0,8,664,0,0,8
Kolhapur Municipal Corporation,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,19,0,0,0,19,0,0,0,20,0,0,0,23,0,0,0,23,0,0,0,23,0,0,0,28,0,0,0,28,0,0,0,29,0,0,0,29,0,0,0,29,0,0,0,29,0,0,0,30,0,0,0,25,0,0,0,25,0,0,0,25,0,0,0,25,0,0,0,27,0,0,0,28,0,0,0
Sangli,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,25,0,0,0,27,0,0,1,32,0,0,0,32,0,0,0,33,0,0,0,33,0,0,0,34,0,0,0,42,0,0,0,47,0,0,0,49,0,0,0,62,0,0,0,63,0,0,0,69,0,0,0,72,0,0,0,76,0,0,0,83,0,0,0,93,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,111,0,0,3,123,0,0,3,132,0,0,3,137,0,0,3,157,0,0,3,167,0,0,3,207,0,0,6
Sangli-Miraj-Kupwad Municipal Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,3,0,0,1,4,0,0,1,4,0,0,1,4,0,0,1,8,0,0,1,8,0,0,1,8,0,0,1,9,0,0,1,11,0,0,1,11,0,0,1,11,0,0,1,11,0,0,1,11,0,0,1,11,0,0,1,11,0,0,1,11,0,0,1,11,0,0,1,13,0,0,1,13,0,0,1,13,0,0,1,13,0,0,1,13,0,0,1,13,0,0,1,14,0,0,1
Sindhudurg,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,1,4,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,19,0,0,0,19,0,0,0,21,0,0,0,33,0,0,0,33,0,0,0,33,0,0,0,52,0,0,0,105,0,0,0,113,0,0,0,113,0,0,0,113,0,0,0,130,0,0,0,150,0,0,0
Ratnagiri,5,0,0,1,5,0,0,1,6,0,0,1,6,0,0,1,6,0,0,1,6,0,0,1,6,0,0,1,6,0,0,1,7,0,0,1,8,0,0,1,8,0,0,1,10,0,0,1,16,0,0,1,36,0,0,1,42,0,0,2,55,0,0,2,95,0,0,3,102,0,0,3,116,0,0,3,135,0,0,3,142,0,0,3,155,0,0,3,167,0,0,4,171,0,0,5,192,0,0,5,216,0,0,5,242,0,0,5,264,0,0,5,264,0,0,5,304,0,0,5,344,0,0,10,352,0,0,10,354,0,0,10,371,0,0,13,378,0,0,14,392,0,0,15
Kolhapur Division Total,38,0,0,1,38,0,0,1,39,0,0,1,39,0,0,1,39,0,0,1,38,0,0,1,38,0,0,1,40,0,0,1,43,0,0,1,45,0,0,2,46,0,0,2,62,0,0,4,71,0,0,3,98,0,0,3,104,0,0,4,118,0,0,4,191,0,0,5,248,0,0,5,322,0,0,5,411,0,0,5,455,0,0,5,504,0,0,5,527,0,0,6,617,0,0,7,651,0,0,7,720,0,0,10,816,0,0,10,866,0,0,10,918,0,0,10,1023,0,0,13,1215,0,0,20,1248,0,0,20,1264,0,0,22,1302,0,0,25,1358,0,0,26,1455,0,0,30
Aurangabad,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,0,0,5,3,0,0,0,3,0,0,0,93,0,0,0,93,0,0,0,94,0,0,0,97,0,0,0,16,0,0,0,16,0,0,0,22,0,0,0,22,0,0,0,23,0,0,0,26,0,0,0,26,0,0,1,26,0,0,1,30,0,0,1,37,0,0,1,39,0,0,1,39,0,0,1,41,0,0,1,46,0,0,2,46,0,0,2,47,0,0,2,52,0,0,2,58,0,0,2,119,0,0,2
Aurangabad Municipal Corporation,16,0,0,1,20,0,0,1,23,0,0,2,23,0,0,2,28,0,0,2,28,0,0,2,29,0,0,3,30,0,0,3,29,0,0,3,42,0,0,5,0,0,0,0,337,0,0,11,397,0,0,12,475,0,0,13,491,0,0,14,559,0,0,15,842,0,0,31,1012,0,0,34,1066,0,0,36,1165,0,0,42,1197,0,0,42,1233,0,0,46,1263,0,0,48,1284,0,0,52,1309,0,0,56,1380,0,0,64,1425,0,0,64,1462,0,0,64,1504,0,0,67,1551,0,0,67,1735,0,0,88,1815,0,0,90,1918,0,0,90,1984,0,0,98,2027,0,0,108,2441,0,0,126
Jalna,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,8,0,0,0,8,0,0,0,12,0,0,0,14,0,0,0,16,0,0,0,28,0,0,0,38,0,0,0,38,0,0,0,46,0,0,0,54,0,0,0,56,0,0,0,63,0,0,0,73,0,0,0,79,0,0,0,117,0,0,0,119,0,0,0,125,0,0,0,129,0,0,0,130,0,0,1,170,0,0,3,177,0,0,3,188,0,0,4,208,0,0,5,209,0,0,5,258,0,0,6
Hingoli,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,8,0,0,0,55,0,0,0,58,0,0,0,59,0,0,0,60,0,0,0,61,0,0,0,96,0,0,0,107,0,0,0,107,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,132,0,0,0,133,0,0,0,133,0,0,0,143,0,0,0,149,0,0,0,149,0,0,0,190,0,0,0,191,0,0,0,205,0,0,0,206,0,0,0,213,0,0,0,214,0,0,0,214,0,0,0,236,0,0,1
Parbhani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,5,0,0,1,6,0,0,1,6,0,0,1,17,0,0,1,17,0,0,1,17,0,0,1,18,0,0,1,19,0,0,1,19,0,0,1,33,0,0,1,40,0,0,1,43,0,0,1,43,0,0,1,51,0,0,1,53,0,0,3,53,0,0,3,53,0,0,3,53,0,0,3,53,0,0,3,55,0,0,3
Parbhani Municipal Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,9,0,0,0,17,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,24,0,0,0,25,0,0,0,25,0,0,0,25,0,0,0,25,0,0,0,26,0,0,0
Aurangabad Division Total,21,0,0,1,25,0,0,1,25,0,0,2,25,0,0,2,32,0,0,2,32,0,0,2,33,0,0,3,33,0,0,3,33,0,0,3,52,0,0,5,61,0,0,5,405,0,0,12,468,0,0,13,641,0,0,14,660,0,0,15,732,0,0,16,1069,0,0,32,1181,0,0,35,1236,0,0,37,1367,0,0,43,1407,0,0,43,1446,0,0,47,1508,0,0,49,1541,0,0,54,1572,0,0,58,1712,0,0,66,1787,0,0,66,1838,0,0,66,1925,0,0,69,1984,0,0,70,2233,0,0,96,2322,0,0,98,2444,0,0,99,2536,0,0,108,2586,0,0,118,3135,0,0,138
Latur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,9,0,0,0,9,0,0,1,19,0,0,1,25,0,0,1,25,0,0,1,26,0,0,1,26,0,0,1,42,0,0,2,47,0,0,2,47,0,0,2,58,0,0,2,64,0,0,2,67,0,0,3,74,0,0,3,74,0,0,3,85,0,0,3,98,0,0,3,98,0,0,3,98,0,0,3,98,0,0,3,98,0,0,3,103,0,0,4,105,0,0,4,106,0,0,4,107,0,0,4,108,0,0,4,122,0,0,8
Latur Municipal Corporation,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,5,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,8,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,20,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,29,0,0,0,30,0,0,0,31,0,0,0,31,0,0,0,31,0,0,0,41,0,0,0
Osmanabad,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,7,0,0,0,11,0,0,0,11,0,0,0,26,0,0,0,29,0,0,0,31,0,0,0,37,0,0,0,37,0,0,0,45,0,0,0,64,0,0,0,66,0,0,0,73,0,0,1,76,0,0,1,80,0,0,1,106,0,0,3,118,0,0,3,124,0,0,3,125,0,0,3,125,0,0,3,143,0,0,3
Beed,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,5,0,0,0,5,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,32,0,0,0,32,0,0,0,40,0,0,0,46,0,0,0,46,0,0,0,47,0,0,0,47,0,0,1,47,0,0,1,51,0,0,1,53,0,0,1,55,0,0,1,56,0,0,1,63,0,0,1,74,0,0,2
Nanded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,7,0,0,0,9,0,0,0,9,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,19,0,0,0,19,0,0,0,22,0,0,0,22,0,0,0,24,0,0,0,28,0,0,0,30,0,0,0,32,0,0,1,32,0,0,1,32,0,0,1,33,0,0,1,33,0,0,1,37,0,0,1
Nanded Municipal Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,2,29,0,0,2,39,0,0,3,41,0,0,4,42,0,0,4,62,0,0,4,70,0,0,4,71,0,0,4,83,0,0,4,83,0,0,5,83,0,0,5,83,0,0,5,86,0,0,5,86,0,0,5,86,0,0,6,86,0,0,6,87,0,0,6,95,0,0,6,99,0,0,6,130,0,0,6,136,0,0,6,137,0,0,6,137,0,0,7,138,0,0,7,167,0,0,9
Latur Division Total,13,0,0,0,13,0,0,0,13,0,0,0,13,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,14,0,0,0,14,0,0,1,54,0,0,3,61,0,0,3,73,0,0,4,80,0,0,5,82,0,0,5,123,0,0,6,145,0,0,6,146,0,0,6,211,0,0,6,220,0,0,7,226,0,0,8,249,0,0,8,256,0,0,8,284,0,0,8,326,0,0,9,338,0,0,9,356,0,0,10,371,0,0,11,381,0,0,11,451,0,0,15,474,0,0,15,485,0,0,15,489,0,0,16,498,0,0,16,584,0,0,23
Akola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,7,0,0,1,7,0,0,1,7,0,0,1,7,0,0,1,11,0,0,1,29,0,0,1,7,0,0,1,9,0,0,1,17,0,0,1,18,0,0,1,18,0,0,1,28,0,0,1,28,0,0,2,29,0,0,2,31,0,0,2,31,0,0,2,36,0,0,2,36,0,0,2,39,0,0,2,39,0,0,5,42,0,0,5,44,0,0,5,44,0,0,5,44,0,0,5,46,0,0,6,47,0,0,6,50,0,0,6,50,0,0,6,52,0,0,6,53,0,0,6,81,0,0,6
Akola Municipal Corporation,12,0,0,0,12,0,0,0,12,0,0,0,13,0,0,1,7,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,56,0,0,5,90,0,0,9,142,0,0,10,144,0,0,10,151,0,0,11,241,0,0,13,259,0,0,15,281,0,0,15,336,0,0,15,342,0,0,15,366,0,0,15,384,0,0,15,398,0,0,15,448,0,0,18,495,0,0,23,527,0,0,23,540,0,0,23,559,0,0,23,596,0,0,25,680,0,0,27,712,0,0,29,728,0,0,30,782,0,0,30,795,0,0,32,909,0,0,34
Amaravati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,2,0,0,1,4,0,0,1,4,0,0,1,5,0,0,2,5,0,0,2,6,0,0,2,7,0,0,2,8,0,0,2,9,0,0,2,13,0,0,2,13,0,0,2,15,0,0,2,16,0,0,2,16,0,0,2,16,0,0,2,16,0,0,2,16,0,0,2,16,0,0,2,17,0,0,2,17,0,0,2,20,0,0,2,21,0,0,2,21,0,0,2,22,0,0,2,26,0,0,2
Amaravati Municipal Corporation,5,0,0,1,5,0,0,1,6,0,0,1,6,0,0,1,5,0,0,1,5,0,0,1,6,0,0,1,6,0,0,1,6,0,0,1,13,0,0,1,0,0,0,0,59,0,0,9,69,0,0,9,78,0,0,11,78,0,0,11,84,0,0,11,104,0,0,12,112,0,0,12,115,0,0,12,136,0,0,12,143,0,0,12,155,0,0,12,167,0,0,12,177,0,0,12,178,0,0,12,186,0,0,14,197,0,0,14,210,0,0,14,216,0,0,14,228,0,0,14,258,0,0,14,269,0,0,16,272,0,0,16,278,0,0,16,281,0,0,17,309,0,0,19
Yavatmal,4,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,13,0,0,0,13,0,0,0,13,0,0,0,14,0,0,0,15,0,0,0,23,0,0,0,48,0,0,0,92,0,0,0,93,0,0,0,96,0,0,0,97,0,0,0,98,0,0,0,99,0,0,0,101,0,0,0,102,0,0,0,113,0,0,0,113,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,128,0,0,0,130,0,0,0,130,0,0,1,130,0,0,1,131,0,0,1,160,0,0,2,160,0,0,2,160,0,0,2,163,0,0,2,164,0,0,2,176,0,0,3
Buldhana,13,0,0,1,17,0,0,1,17,0,0,1,21,0,0,1,21,0,0,1,21,0,0,1,21,0,0,1,21,0,0,1,21,0,0,1,21,0,0,1,21,0,0,1,24,0,0,1,24,0,0,1,24,0,0,1,25,0,0,1,25,0,0,1,30,0,0,1,33,0,0,3,34,0,0,3,39,0,0,3,39,0,0,3,40,0,0,3,41,0,0,3,49,0,0,3,53,0,0,3,56,0,0,3,58,0,0,3,62,0,0,3,63,0,0,3,73,0,0,3,82,0,0,3,86,0,0,3,87,0,0,3,95,0,0,3,97,0,0,3,117,0,0,3
Washim,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,9,0,0,2,9,0,0,2,10,0,0,2,10,0,0,2,12,0,0,2,41,0,0,2
Akola Division Total,35,0,0,2,40,0,0,2,41,0,0,2,46,0,0,3,54,0,0,3,54,0,0,3,56,0,0,3,58,0,0,3,59,0,0,3,81,0,0,3,119,0,0,3,241,0,0,17,290,0,0,21,362,0,0,24,368,0,0,25,383,0,0,26,511,0,0,29,543,0,0,34,577,0,0,34,672,0,0,34,689,0,0,34,733,0,0,34,766,0,0,34,802,0,0,34,857,0,0,40,931,0,0,47,980,0,0,47,1010,0,0,48,1036,0,0,48,1099,0,0,51,1253,0,0,56,1306,0,0,60,1328,0,0,61,1401,0,0,61,1424,0,0,64,1659,0,0,69
Nagpur,1,0,0,0,1,0,0,0,5,0,0,0,5,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,107,0,0,1,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,7,0,0,0,7,0,0,0,9,0,0,0,9,0,0,0,13,0,0,0,17,0,0,0,27,0,0,0,35,0,0,0,35,0,0,0,44,0,0,0,48,0,0,0,50,0,0,0,50,0,0,0,54,0,0,0,67,0,0,0
Nagpur Municipal Corporation,27,0,0,1,38,0,0,1,39,0,0,1,50,0,0,1,55,0,0,1,55,0,0,1,58,0,0,1,67,0,0,1,67,0,0,1,99,0,0,1,0,0,0,0,179,0,0,2,204,0,0,2,249,0,0,2,257,0,0,2,266,0,0,2,355,0,0,2,386,0,0,6,421,0,0,6,457,0,0,7,462,0,0,7,464,0,0,7,468,0,0,7,472,0,0,8,475,0,0,9,498,0,0,9,539,0,0,10,547,0,0,10,557,0,0,11,579,0,0,11,637,0,0,11,690,0,0,11,697,0,0,11,711,0,0,11,734,0,0,12,915,0,0,12
Wardha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,4,0,0,1,6,0,0,1,7,0,0,1,10,0,0,1,11,0,0,1,11,0,0,1,12,0,0,1,9,0,0,1,9,0,0,1,9,0,0,1,9,0,0,1,11,0,0,1,11,0,0,1,11,0,0,1,14,0,0,1
Bhandara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,7,0,0,0,7,0,0,0,9,0,0,0,9,0,0,0,10,0,0,0,14,0,0,0,14,0,0,0,19,0,0,0,25,0,0,0,29,0,0,0,32,0,0,0,32,0,0,0,32,0,0,0,38,0,0,0,39,0,0,0,39,0,0,0,41,0,0,0,42,0,0,0,49,0,0,0
Gondia,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,28,0,0,0,39,0,0,0,39,0,0,0,43,0,0,0,47,0,0,0,48,0,0,0,58,0,0,0,61,0,0,0,66,0,0,0,66,0,0,0,66,0,0,0,68,0,0,0,68,0,0,0,68,0,0,0,68,0,0,0,68,0,0,0,69,0,0,0
